bci_index,word,english_glosses,pos,bliss_url,arasaac_url,mulberry_url,sclera_url,noun_project_url,tawasol_url,current_aac_url
8510,zero_,zero_(index_number),WHITE,https://www.blissymbolics.net/refnumber/8510,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/zero.png,https://d18vdu4p71yql0.cloudfront.net/libraries/mulberry/Zero.svg,https://d18vdu4p71yql0.cloudfront.net/libraries/sclera/plus%20zero%20bullshit.png,,https://d18vdu4p71yql0.cloudfront.net/libraries/tawasol/zero.png,
8511,one_,one_(index_number),WHITE,https://www.blissymbolics.net/refnumber/8511,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/one.png,https://d18vdu4p71yql0.cloudfront.net/libraries/mulberry/one.svg,https://d18vdu4p71yql0.cloudfront.net/libraries/sclera/one%20leg%20hop.png,,https://d18vdu4p71yql0.cloudfront.net/libraries/tawasol/See%20(F).png,
8512,two_,two_(index_number),WHITE,https://www.blissymbolics.net/refnumber/8512,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/two.png,https://d18vdu4p71yql0.cloudfront.net/libraries/mulberry/two.svg,https://d18vdu4p71yql0.cloudfront.net/libraries/sclera/two%20person%20bike.png,,,
8513,three_,three_(index_number),WHITE,https://www.blissymbolics.net/refnumber/8513,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/three.png,https://d18vdu4p71yql0.cloudfront.net/libraries/mulberry/three.svg,https://d18vdu4p71yql0.cloudfront.net/libraries/sclera/Tellus%20three.png,,,
8514,four_,four_(index_number),WHITE,https://www.blissymbolics.net/refnumber/8514,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/four.png,https://d18vdu4p71yql0.cloudfront.net/libraries/mulberry/four.svg,https://d18vdu4p71yql0.cloudfront.net/libraries/sclera/four-leaf%20clover.png,,https://d18vdu4p71yql0.cloudfront.net/libraries/tawasol/153-Sentence%20bw.png,
8515,five_,five_(index_number),WHITE,https://www.blissymbolics.net/refnumber/8515,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/five.png,https://d18vdu4p71yql0.cloudfront.net/libraries/mulberry/five.svg,https://d18vdu4p71yql0.cloudfront.net/libraries/sclera/hand.png,,https://d18vdu4p71yql0.cloudfront.net/libraries/tawasol/Duck.png,
8516,six_,six_(index_number),WHITE,https://www.blissymbolics.net/refnumber/8516,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/six.png,https://d18vdu4p71yql0.cloudfront.net/libraries/mulberry/six.svg,https://d18vdu4p71yql0.cloudfront.net/libraries/sclera/6.png,,,
8517,seven_,seven_(index_number),WHITE,https://www.blissymbolics.net/refnumber/8517,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/seven.png,https://d18vdu4p71yql0.cloudfront.net/libraries/mulberry/seven.svg,https://d18vdu4p71yql0.cloudfront.net/libraries/sclera/sand%20seven.png,,,
8518,eight_,eight_(index_number),WHITE,https://www.blissymbolics.net/refnumber/8518,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/eight.png,https://d18vdu4p71yql0.cloudfront.net/libraries/mulberry/eight.svg,https://d18vdu4p71yql0.cloudfront.net/libraries/sclera/wheelchair%20driving%20a%20eight.png,,,
8519,nine_,nine_(index_number),WHITE,https://www.blissymbolics.net/refnumber/8519,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/nine.png,https://d18vdu4p71yql0.cloudfront.net/libraries/mulberry/nine.svg,https://d18vdu4p71yql0.cloudfront.net/libraries/sclera/9.png,,,
